,feature,importance
395,MEAN(previous_app.MEAN(credit.CNT_DRAWINGS_OTHER_CURRENT)),0.2
396,MEAN(previous_app.MEAN(cash.SK_DPD)),7.6
397,SUM(bureau.MEAN(bureau_balance.MONTHS_BALANCE)),10.4
398,MEAN(bureau.SUM(bureau_balance.MONTHS_BALANCE)),14.4
399,MIN(previous_app.COUNT(installments)),9.600000000000001
400,MAX(previous_app.SUM(installments.DAYS_INSTALMENT)),18.0
401,MEAN(previous_app.SUM(credit.AMT_TOTAL_RECEIVABLE)),1.8
402,MEAN(previous_app.MAX(installments.SK_ID_CURR)),0.0
403,MEAN(previous_app.MIN(installments.SK_ID_CURR)),0.0
404,MAX(previous_app.MIN(credit.AMT_PAYMENT_CURRENT)),2.0
405,MEAN(previous_app.MEAN(credit.AMT_BALANCE)),2.6
406,MEAN(previous_app.MAX(cash.SK_DPD)),7.4
407,MAX(previous_app.MIN(credit.AMT_RECIVABLE)),2.0
408,SUM(previous_app.MEAN(credit.AMT_BALANCE)),2.6
409,MEAN(previous_app.SUM(installments.DAYS_ENTRY_PAYMENT)),15.8
410,SUM(bureau.MIN(bureau_balance.MONTHS_BALANCE)),8.6
411,MIN(previous_app.SUM(installments.AMT_INSTALMENT)),27.0
412,MIN(bureau.MEAN(bureau_balance.MONTHS_BALANCE)),14.6
413,MAX(previous_app.MEAN(cash.CNT_INSTALMENT_FUTURE)),53.8
414,MEAN(previous_app.MAX(credit.AMT_RECEIVABLE_PRINCIPAL)),1.2000000000000002
415,MEAN(previous_app.MIN(cash.MONTHS_BALANCE)),11.2
416,MIN(previous_app.SUM(credit.AMT_TOTAL_RECEIVABLE)),0.8
417,MAX(previous_app.MIN(cash.SK_ID_CURR)),0.0
418,MEAN(previous_app.MIN(credit.SK_DPD_DEF)),0.0
419,MEAN(previous_app.MEAN(credit.AMT_RECIVABLE)),0.8
420,MAX(previous_app.SUM(cash.CNT_INSTALMENT_FUTURE)),11.0
421,MEAN(previous_app.MEAN(credit.AMT_CREDIT_LIMIT_ACTUAL)),10.0
422,MIN(previous_app.MEAN(credit.AMT_PAYMENT_CURRENT)),2.6
423,MEAN(previous_app.MEAN(credit.AMT_PAYMENT_TOTAL_CURRENT)),2.4
424,MAX(previous_app.MEAN(credit.AMT_TOTAL_RECEIVABLE)),1.6
425,SUM(previous_app.MIN(credit.SK_ID_CURR)),5.199999999999999
426,MAX(previous_app.COUNT(installments)),5.799999999999999
427,SUM(previous_app.MAX(credit.CNT_DRAWINGS_ATM_CURRENT)),1.0
428,MIN(previous_app.SUM(cash.CNT_INSTALMENT)),14.999999999999998
429,SUM(previous_app.MIN(credit.MONTHS_BALANCE)),0.6000000000000001
430,MIN(previous_app.MAX(credit.AMT_CREDIT_LIMIT_ACTUAL)),1.8
431,SUM(previous_app.MEAN(installments.NUM_INSTALMENT_NUMBER)),10.8
432,SUM(previous_app.MAX(credit.AMT_INST_MIN_REGULARITY)),1.2000000000000002
433,SUM(previous_app.MIN(credit.AMT_DRAWINGS_ATM_CURRENT)),0.0
434,MAX(previous_app.MIN(credit.CNT_DRAWINGS_CURRENT)),0.0
435,MIN(previous_app.MEAN(credit.AMT_DRAWINGS_OTHER_CURRENT)),0.2
436,SUM(previous_app.MIN(cash.CNT_INSTALMENT)),15.200000000000001
437,MEAN(previous_app.SUM(credit.AMT_DRAWINGS_OTHER_CURRENT)),0.2
438,MEAN(previous_app.MAX(credit.CNT_DRAWINGS_OTHER_CURRENT)),0.0
439,MIN(previous_app.SUM(cash.SK_DPD)),0.8
440,SUM(previous_app.MIN(cash.CNT_INSTALMENT_FUTURE)),38.0
441,MEAN(previous_app.MAX(credit.AMT_INST_MIN_REGULARITY)),1.0
442,MEAN(previous_app.MAX(installments.AMT_PAYMENT)),17.799999999999997
443,MEAN(previous_app.SUM(credit.CNT_DRAWINGS_ATM_CURRENT)),2.5999999999999996
444,MAX(previous_app.MIN(credit.AMT_TOTAL_RECEIVABLE)),0.0
445,MAX(previous_app.MIN(credit.CNT_DRAWINGS_POS_CURRENT)),0.6000000000000001
446,SUM(previous_app.MAX(credit.AMT_DRAWINGS_ATM_CURRENT)),0.2
447,SUM(previous_app.MEAN(credit.AMT_TOTAL_RECEIVABLE)),1.6
448,MIN(previous_app.MAX(credit.CNT_DRAWINGS_ATM_CURRENT)),1.6
449,MEAN(previous_app.MAX(credit.SK_DPD)),0.2
450,MIN(previous_app.MAX(installments.NUM_INSTALMENT_NUMBER)),3.4
451,MIN(previous_app.MAX(credit.AMT_DRAWINGS_CURRENT)),1.8000000000000003
452,SUM(previous_app.MEAN(installments.NUM_INSTALMENT_VERSION)),26.0
453,MEAN(previous_app.MIN(credit.AMT_DRAWINGS_ATM_CURRENT)),0.0
454,MAX(previous_app.SUM(credit.AMT_TOTAL_RECEIVABLE)),0.4
455,MIN(previous_app.MEAN(credit.CNT_DRAWINGS_OTHER_CURRENT)),0.0
